id_election,rang1_Prénom,rang2_Prénom,rang1_Nom,rang2_Nom,rang1_Nuance,rang2_Nuance,rang1_voix_pct,rang2_voix_pct,election,tour,annee,dep_x,Prénom Président,Nom Président,dep_y,Nuance_interco,insee,dept,Code INSEE,Code Postal
2014_muni_t1,Pierre,,PERNET,,LDIV,,100.0,,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01005,01,01005,01330
2014_muni_t1,Bernard,Jacky,THIBOUD,NANTERME,LDVD,LDVD,56.15384615384615,43.84615384615385,2014_muni,t1,2014,01,Paul,rannard,74,NC,01010,74,01010,01350
2014_muni_t1,Liliane,,MAISSIAT,,LUMP,,100.0,,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01014,01,01014,01100
2014_muni_t1,Richard,Patrick,PACCAUD,DUVIVIER,LDIV,LDIV,56.611570247933884,43.388429752066116,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01021,01,01021,01480
2014_muni_t1,Mireille,Philippe,CHARMONT-MUNET,LESEUR,LDVD,LDVD,65.09274873524453,34.90725126475548,2014_muni,t1,2014,01,RENE,vuillerod,01,LREM,01022,01,01022,01510
2014_muni_t1,Walter,Martial,MARTIN,GOYARD,LDVD,LDVG,59.154929577464785,40.845070422535215,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01024,01,01024,01340
2014_muni_t1,Dominique,,REPIQUET,,LDIV,,100.0,,2014_muni,t1,2014,01,GUY,billoudet,01,LDVD,01025,01,01025,01380
2014_muni_t1,Gérard,Jean-Michel,BOUVIER,HALET,LDVD,LDVG,72.07792207792207,27.92207792207792,2014_muni,t1,2014,01,Philippe,guillot vignot,01,LDVD,01027,01,01027,01360
2014_muni_t1,Jean-Georges,Bernard,ARBANT,PAVIOT,LDVG,LDVD,60.31904287138584,39.68095712861416,2014_muni,t1,2014,01,Jean,deguerry,01,LDVD,01031,01,01031,01100
2014_muni_t1,Francis,Dominique,SIGOIRE,CALAIS,LDIV,LDIV,73.87068201948627,26.12931798051373,2014_muni,t1,2014,01,Philippe,guillot vignot,01,LDVD,01032,01,01032,01360
2014_muni_t1,Régis,Jean-Sébastien,PETIT,BLOCH,LDVD,LDVG,71.62471395881008,23.079437724746647,2014_muni,t1,2014,01,,,01,,01033,01,01033,01200
2014_muni_t1,Michel,Pierre,NICOD,FELIX,LDVD,LDIV,64.75237091675447,35.24762908324553,2014_muni,t1,2014,01,Pascal,protiere,01,LDVG,01043,01,01043,01700
2014_muni_t1,François,,DROGUE,,LDVD,,100.0,,2014_muni,t1,2014,01,Philippe,guillot vignot,01,LDVD,01049,01,01049,01120
2014_muni_t1,Jean François,Xavier,DEBAT,BRETON,LUG,LUD,50.64127477652546,33.40069957248348,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01053,01,01053,01000
2014_muni_t1,Bernard,Patrick,PERRET,LEROY,LDVD,LDIV,64.99189627228526,35.008103727714754,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01054,01,01054,01800
2014_muni_t1,Marcel,,GENS,,LDVD,,100.0,,2014_muni,t1,2014,01,RENE,vuillerod,01,LREM,01061,01,01061,01300
2014_muni_t1,Michel,,CHANEL,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01065,01,01065,01310
2014_muni_t1,Eric,,THOMAS,,LDVG,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01069,01,01069,01240
2014_muni_t1,Christophe,,BOUVIER,,LDVD,,100.0,,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01071,01,01071,01170
2014_muni_t1,Jean-Yves,,FLOCHON,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01072,01,01072,01250
2014_muni_t1,Ali,,BENMEDJAHED,,LDIV,,100.0,,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01074,01,01074,01320
2014_muni_t1,Gilbert,,GROS,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean Claude,deschizeaux,01,LDVD,01075,01,01075,01480
2014_muni_t1,Claude,Christian,CHAPPUIS,JOLIE,LDIV,LDVG,100.0,0.0,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01078,01,01078,01630
2014_muni_t1,Joël,,BRUNET,,LDVD,,100.0,,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01089,01,01089,01500
2014_muni_t1,André,Agnès,MICHON,CHAUDEY,LDVD,LDIV,69.24157303370787,30.758426966292134,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01092,01,01092,01320
2014_muni_t1,Yves,Guy,CLAYETTE,FORAY,LUMP,LDIV,53.2518337408313,46.748166259168705,2014_muni,t1,2014,01,MICHEL,girer,01,LDVD,01093,01,01093,01400
2014_muni_t1,René,,DULOT,,LDVG,,100.0,,2014_muni,t1,2014,01,Jean-Louis,guyader,01,NC,01099,01,01099,01150
2014_muni_t1,Jean-François,,RAVOT,,LDVG,,100.0,,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01103,01,01103,01170
2014_muni_t1,Marie-Jeanne,,BEGUET,,LDVD,,100.0,,2014_muni,t1,2014,01,Bernard,grison,01,LDVD,01105,01,01105,01390
2014_muni_t1,Bruno,,RAFFIN,,LDVD,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01108,01,01108,01270
2014_muni_t1,André,,DUPARC,,LDVD,,100.0,,2014_muni,t1,2014,01,Christophe,bouvier,01,LDVD,01109,01,01109,01550
2014_muni_t1,Christiane,,COLAS,,LSOC,,100.0,,2014_muni,t1,2014,01,JEAN FRANCOIS,debat,01,LUG,01115,01,01115,01310
