Département;Arrondissement siège;Commune siège;N° SIREN;Nom du groupement;Nature juridique;Mode de financement;Date de création;Date d'effet;Population totale;Civilité Président;Nom Président;Prénom Président;Nombre de membres;Nombre de compétences exercées
Ain;Bourg-en-Bresse;Arbigny;200005742;SIVOS des communes d'Arbigny et de Sermoyer;SIVOM;CBUDG;16/11/2006;16/11/2006;1137;M.;GRAS;Daniel;2;3
Ain;Bourg-en-Bresse;Saint-Trivier-de-Courtes;200007276;SIVOS de Saint-Trivier-de-Courtes;SIVU;CBUDG;10/01/2007;10/01/2007;2460;M.;PALLEGOIX;Thierry;6;2
Ain;Belley;Pérouges;200011831;SIVOS de Bourg-Saint-Christophe et de Pérouges;SIVOM;CBUFI;17/12/2007;17/12/2007;2993;M.;PERRET;Bernard;2;2
Ain;Bourg-en-Bresse;Châtillon-sur-Chalaronne;200013290;Syndicat des rivières Dombes - Chalaronne - Bords de Saône;SMF;CBUDG;15/01/2008;15/01/2008;60431;M.;LUX;JEAN MICHEL;5;5
Ain;Belley;Ambronay;200024529;SIVU Les Petits Mômes;SIVU;CBUDG;24/02/2010;24/02/2010;10377;Mme;SACCO;Marina;6;4
Ain;Nantua;Jujurieux;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;FPU;25/11/2011;01/01/2012;15156;M.;DUPUIS;Thierry;14;21
Ain;Belley;Belley;200040350;CC Bugey Sud;CC;FPU;01/01/2014;01/01/2014;34938;Mme;GODET;Pauline;41;27
Ain;Bourg-en-Bresse;Trévoux;200042497;CC Dombes Saône Vallée;CC;FPU;01/01/2014;01/01/2014;41975;M.;PECHOUX;Marc;19;28
Ain;Nantua;Oyonnax;200042935;CA Haut-Bugey Agglomération;CA;FPU;01/01/2014;01/01/2014;65428;M.;MOURLEVAT;Michel;42;41
Ain;Bourg-en-Bresse;Saint-Julien-sur-Reyssouze;200049831;SIVOS du RPI Lescheroux, Saint-Jean-sur-Reyssouze, Saint-Julien-sur-Reyssouze;SIVU;CBUDG;18/12/2014;01/01/2015;2200;Mme;PETITJEAN;DOMINIQUE;3;2
Ain;Nantua;Saint-Martin-du-Frêne;200052041;SIVU de la Combe de Vaux;SMF;CBUDG;01/01/2015;01/01/2015;2932;M.;TURC;Dominique;3;1
Ain;Bourg-en-Bresse;Jassans-Riottier;200052959;Syndicat des eaux de Jassans-Riottier;SMF;AUCUN;30/07/2015;30/07/2015;12418;M.;NOAILLY;Jean-Louis;4;1
Ain;Bourg-en-Bresse;Sainte-Euphémie;200061455;SIVU d'aménagement hydraulique du canton de Trévoux et de ses environs;SMF;CBUDG;01/01/2016;01/01/2016;45649;M.;POMMIER;DAVID;3;1
Ain;Belley;Lhuis;200068476;SIVOM Rhône Chartreuse de Portes;SIVOM;CBUDG;24/11/2016;01/01/2017;5101;M.;BEGUET;DANIEL;10;2
Ain;Bourg-en-Bresse;Châtillon-sur-Chalaronne;200069193;CC de la Dombes;CC;FPU;01/12/2016;01/01/2017;41461;Mme;DUBOIS;Isabelle;36;27
Ain;Bourg-en-Bresse;Montceaux;200070118;CC Val de Saône Centre;CC;FPU;06/12/2016;01/01/2017;21470;M.;DESCHIZEAUX;Jean-Claude;15;31
Ain;Bourg-en-Bresse;Pont-de-Veyle;200070555;CC de la Veyle;CC;FPU;08/12/2016;01/01/2017;23753;M.;GREFFET;Christophe;18;29
Ain;Bourg-en-Bresse;Bâgé-le-Châtel;200071371;CC Bresse et Saône;CC;FPU;15/12/2016;01/01/2017;26294;M.;BILLOUDET;Guy;20;25
Ain;Bourg-en-Bresse;Bourg-en-Bresse;200071751;CA du Bassin de Bourg-en-Bresse;CA;FPU;16/12/2016;01/01/2017;139518;M.;DEBAT;Jean-François;74;45
Ain;Belley;Champagne-en-Valromey;200071975;SIVOM du Valromey;SIVOM;CBUDG;19/12/2016;01/01/2017;3765;Mme;GODET;Pauline;4;4
