"Région siège";"Département siège";"Arrondissement siège";"Commune siège";"N° SIREN";"Nom du groupement";"Nature juridique";"Syndicat à la carte";"Groupement interdépartemental";"Date de création";"Date d'effet";"Mode de répartition des sièges";"Autre mode de répartition des sièges";"Nombre de membres";Population;"Nombre de compétences exercées";"Mode de financement";"Civilité Président";"Prénom Président";"Nom Président"
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"4 - Nantua";"210102836 - Oyonnax";200042935;"Haut - Bugey Agglomération";CA;0;0;2014-01-01;2014-01-01;ACCOR;;42;65393;35;FPU;M.;Jean;DEGUERRY;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210100533 - Bourg-en-Bresse";200071751;"CA du Bassin de Bourg-en-Bresse";CA;0;0;2016-12-16;2017-01-01;RDC;;74;136014;41;FPU;M.;"JEAN FRANCOIS";DEBAT;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"3 - Gex";"210101739 - Gex";240100750;"CA du Pays de Gex";CA;0;0;1995-05-31;1995-05-31;ACCOR;;27;95187;35;FPU;M.;Christophe;BOUVIER;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"4 - Nantua";"210101994 - Jujurieux";200029999;"CC Rives de l'Ain - Pays du Cerdon";CC;0;0;2011-11-25;2012-01-01;ACCOR;;14;14792;18;FPU;M.;Thierry;DUPUIS;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210100343 - Belley";200040350;"CC Bugey Sud";CC;0;0;2014-01-01;2014-01-01;RDC;;43;34828;22;FPU;M.;RENE;VUILLEROD;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210104279 - Trévoux";200042497;"CC Dombes Saône Vallée";CC;0;0;2014-01-01;2014-01-01;ACCOR;;19;38793;28;FPU;M.;Bernard;GRISON;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210100939 - Châtillon-sur-Chalaronne";200069193;"CC de la Dombes";CC;0;0;2016-12-01;2017-01-01;RDC;;36;39112;21;FPU;M.;MICHEL;GIRER;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210102588 - Montceaux";200070118;"CC Val de Saône Centre";CC;0;0;2016-12-06;2017-01-01;RDC;;15;20744;23;FPU;M.;"Jean Claude";DESCHIZEAUX;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210103065 - Pont-de-Veyle";200070555;"CC de la Veyle";CC;0;0;2016-12-08;2017-01-01;ACCOR;;18;22575;22;FPU;M.;CHRISTOPHE;GREFFET;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210100269 - Bâgé-le-Châtel";200071371;"CC Bresse et Saône";CC;0;0;2016-12-15;2017-01-01;ACCOR;;20;25831;22;FPU;M.;GUY;BILLOUDET;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210102620 - Montluel";240100610;"CC de la Côtière à Montluel";CC;0;0;1993-12-28;1993-12-28;ACCOR;;9;25112;26;FPU;M.;Philippe;GUILLOT-VIGNOT;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210102497 - Miribel";240100800;"CC de Miribel et du Plateau";CC;0;0;1997-12-31;1997-12-31;ACCOR;;6;23888;19;FPU;M.;Pascal;PROTIERE;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210100996 - Chazey-sur-Ain";240100883;"CC de la Plaine de l'Ain";CC;0;0;2002-12-15;2002-12-15;RDC;;53;78956;21;FPU;M.;Jean-Louis;GUYADER;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"4 - Nantua";"200083863 - Valserhône";240100891;"CC du Pays Bellegardien (CCPB)";CC;0;0;2002-12-30;2002-12-30;ACCOR;;12;22203;14;FPU;;;;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"4 - Nantua";"210102695 - Nantua";200000958;"SI d'initiative forestière du Haut-Bugey";SIVU;0;0;2005-11-19;2005-11-19;MEMNB;;59;145249;1;CBUDG;M.;"Jean Henri";LAURENT;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210100160 - Arbigny";200005742;"SIVOS des communes d'Arbigny et de Sermoyer";SIVU;0;0;2006-11-16;2006-11-16;MEMNB;;2;1173;1;CBUDG;M.;Daniel;GRAS;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210103883 - Saint-Trivier-de-Courtes";200007276;"SIVOS de Saint Trivier de Courtes";SIVU;0;0;2007-01-10;2007-01-10;MEMNB;;5;2168;1;CBUDG;M.;Thierry;PALLEGOIX;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210102901 - Pérouges";200011831;"SIVOS de Bourg-Saint-Christophe et de Pérouges";SIVU;0;0;2007-12-17;2007-12-17;MEMNB;;2;2586;2;CBUFI;M.;Bernard;PERRET;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210100079 - Ambronay";200024529;"SIVU Les Petits Mômes";SIVU;0;0;2010-02-24;2010-02-24;MEMNB;;6;9856;1;CBUDG;Mme;Gisèle;LEVRAT;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210102448 - Meximieux";200042968;"Syndicat des eaux de Meximieux et de la Côtière";SIVU;0;0;2014-01-01;2014-01-01;POPUL;;4;14039;1;AUCUN;M.;Jean-Alex;PELLETIER;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210103644 - Saint-Jean-sur-Reyssouze";200049831;"SIVOS du RPI Lescheroux, Mantenay-Montlin, Saint-Jean-sur-Reyssouze, Saint-Julien-sur-Reyssouze";SIVU;0;0;2014-12-18;2015-01-01;MEMNB;;4;2506;1;CBUDG;Mme;KARINE;PACCOUD;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210100046 - Ambérieu-en-Bugey";200073989;"SI du centre nautique Bugey Côtière";SIVU;0;0;2017-01-01;2017-01-01;POPUL;;20;32942;1;CBUDG;M.;Jean-Pierre;HUMBERT;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210103842 - Saint-Rambert-en-Bugey";200081461;"SI d'aménagement du bassin versant de la vallée de l'Albarine (SIABVA)";SIVU;0;0;2018-06-21;2018-06-21;AUTR;"deux délégués par commune et, pour les communes de plus de 2 000 habitants, un délégué supplémentaire par tranche de 2 000 habitants commencée";27;38011;1;AUCUN;M.;JACQUES;MAGDELAINE;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210100046 - Ambérieu-en-Bugey";250100039;"SIVU des eaux de la région d'Ambérieu en Bugey";SIVU;0;0;1975-05-16;1975-05-16;MEMNB;;8;24233;1;CBUDG;M.;Eric;MAITRE;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"200063121 - Chazey-Bons";250100070;"SIVU de distribution d'eau Andert Condon et Pugieu";SIVU;0;0;1947-10-08;1947-10-08;MEMNB;;2;1457;1;CBUDG;Mme;FRANCINE;MARTINAT;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210100129 - Aranc";250100088;"SIAEPA du Borey";SIVU;0;0;1961-11-24;1961-11-24;MEMNB;;3;598;1;CBUDG;M.;Daniel;MATHIEU;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210100533 - Bourg-en-Bresse";250100211;"SI d'énergie et de e-communication ou SIEA";SIVU;1;0;1950-03-11;1950-03-11;POPUL;;393;655171;1;CBUDG;M.;Walter;MARTIN;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210100798 - Champagne-en-Valromey";250100260;"SIVU de distribution d'eau du Bas - Valromey";SIVU;0;0;1948-10-25;1948-10-25;MEMNB;;3;2907;1;CBUDG;M.;André;BOLON;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210101564 - Faramans";250100393;"SIVU de distribution d'eau de Faramans, Rignieux-le-Franc, Saint-Éloi";SIVU;0;0;1948-02-02;1948-02-02;MEMNB;;8;3827;1;CBUDG;M.;Gérard;BROCHIER;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210101622 - Flaxieu";250100401;"SIVU des eaux de Pollieu - Flaxieu";SIVU;0;0;1936-03-25;1936-03-25;MEMNB;;2;236;1;CBUDG;M.;Gérard;BILLET;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210102968 - Pirajoux";250100583;"Syndicat d'aménagement et d'entretien du Sevron et du Solnan";SIVU;0;0;1962-10-11;1962-10-11;MEMNB;;14;14813;1;CFISC;M.;Noël;PIROUX;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"200059913 - Parves et Nattages";250100591;"SIVU de distribution d'eau de Massignieu-de-Rives, Nattages et Parves";SIVU;0;0;1957-04-08;1957-04-08;MEMNB;;2;1587;1;CBUDG;M.;Michel;CHIGNOLI;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210102497 - Miribel";250100633;"SIVU des eaux du Nord - Est de Lyon";SIVU;0;0;1952-12-04;1952-12-04;MEMNB;;4;21086;1;CBUDG;M.;Philippe;BERTHO;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210102596 - Montcet";250100658;"Syndicat à vocation scolaire et sportive Montcet, Montracol, Vandeins";SIVU;0;0;1975-06-09;1975-06-09;MEMNB;;3;2460;1;CBUDG;M.;Yves;BOUILLOUX;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210102620 - Montluel";250100674;"SIVU de distribution d'eau de la Sereine";SIVU;0;0;1964-04-25;1964-04-25;POPUL;;2;7680;1;CBUDG;M.;Jean-Pierre;JACQUINOT;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"210103297 - Rossillon";250100872;"SIVU de distribution d'eau Cheignieu-la-Balme  -  Rossillon";SIVU;0;0;1969-03-27;1969-03-27;MEMNB;;2;301;1;CBUDG;M.;Marc;BUET;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"1 - Belley";"200060143 - Groslée-Saint-Benoit";250100914;"SIVU des eaux du Bas - Bugey";SIVU;0;0;1953-05-09;1953-05-09;MEMNB;;5;3246;1;CBUDG;M.;Etienne;TREPIER;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"4 - Nantua";"210103040 - Pont-d'Ain";250100948;"SIVU de distribution d'eau Ain  -  Veyle  -  Revermont";SIVU;0;0;1948-11-18;1948-11-18;MEMNB;;14;17612;1;CBUDG;M.;"Jean Claude";RAPY;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210102992 - Le Plantay";250100989;"SIVOS Châtenay - Le Plantay - Saint-Nizier-le-Désert";SIVU;0;0;1978-05-02;1978-05-02;MEMNB;;3;1837;1;CBUDG;M.;Patrick;SARONI;
"84 - Auvergne-Rhône-Alpes";"01 - Ain";"2 - Bourg-en-Bresse";"210104188 - Thil";250101060;"SI de distribution d'eau de Thil  -  Niévroz";SIVU;0;0;1955-07-11;1955-07-11;MEMNB;;2;2700;1;CBUDG;M.;Patrick;BATTISTA;
