Région siège;Département siège;Arrondissement siège;Commune siège;N° SIREN;Nom du groupement;Nature juridique;Syndicat à la carte;Groupement interdépartemental;Date de création;Date d'effet;Mode de répartition des sièges;Autre mode de répartition des sièges;Nombre de membres;Population;Nombre de compétences exercées;Mode de financement;Civilité Président;Prénom Président;Nom Président
84 - Auvergne-Rhône-Alpes;01 - Ain;4 - Nantua;210102836 - Oyonnax;200042935;Haut - Bugey Agglomération;CA;0;0;01/01/2014;01/01/2014;RDC;;42;65148;39;FPU;M.;Michel;MOURLEVAT
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210100533 - Bourg-en-Bresse;200071751;CA du Bassin de Bourg-en-Bresse;CA;0;0;16/12/2016;01/01/2017;RDC;;74;138158;44;FPU;M.;Jean-François;DEBAT
84 - Auvergne-Rhône-Alpes;01 - Ain;3 - Gex;210101739 - Gex;240100750;CA du Pays de Gex;CA;0;0;31/05/1995;31/05/1995;RDC;;27;104355;39;FPU;M.;Patrice;DUNAND
84 - Auvergne-Rhône-Alpes;01 - Ain;4 - Nantua;210101994 - Jujurieux;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;0;0;25/11/2011;01/01/2012;ACCOR;;14;14992;20;FPU;M.;Thierry;DUPUIS
84 - Auvergne-Rhône-Alpes;01 - Ain;1 - Belley;210100343 - Belley;200040350;CC Bugey Sud;CC;0;0;01/01/2014;01/01/2014;RDC;;42;35008;26;FPU;Mme;Pauline;GODET
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210104279 - Trévoux;200042497;CC Dombes Saône Vallée;CC;0;0;01/01/2014;01/01/2014;ACCOR;;19;41413;28;FPU;M.;Marc;PECHOUX
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210100939 - Châtillon-sur-Chalaronne;200069193;CC de la Dombes;CC;0;0;01/12/2016;01/01/2017;RDC;;36;40889;24;FPU;Mme;Isabelle;DUBOIS
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210102588 - Montceaux;200070118;CC Val de Saône Centre;CC;0;0;06/12/2016;01/01/2017;ACCOR;;15;21430;28;FPU;M.;Jean-Claude;DESCHIZEAUX
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210103065 - Pont-de-Veyle;200070555;CC de la Veyle;CC;0;0;08/12/2016;01/01/2017;RDC;;18;23713;26;FPU;M.;Christophe;GREFFET
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210100269 - Bâgé-le-Châtel;200071371;CC Bresse et Saône;CC;0;0;15/12/2016;01/01/2017;ACCOR;;20;26260;23;FPU;M.;Guy;BILLOUDET
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210102620 - Montluel;240100610;CC de la Côtière à Montluel;CC;0;0;28/12/1993;28/12/1993;ACCOR;;9;25513;32;FPU;M.;Philippe;GUILLOT-VIGNOT
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210102497 - Miribel;240100800;CC de Miribel et du Plateau;CC;0;0;31/12/1997;31/12/1997;ACCOR;;6;25209;24;FPU;Mme;Caroline;TERRIER
84 - Auvergne-Rhône-Alpes;01 - Ain;1 - Belley;210100996 - Chazey-sur-Ain;240100883;CC de la Plaine de l'Ain;CC;0;0;15/12/2002;15/12/2002;RDC;;53;83033;22;FPU;M.;Jean-Louis;GUYADER
84 - Auvergne-Rhône-Alpes;01 - Ain;4 - Nantua;200083863 - Valserhône;240100891;CC du Pays Bellegardien (CCPB);CC;0;0;30/12/2002;30/12/2002;RDC;;12;22238;20;FPU;M.;Patrick;PERREARD
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210103883 - Saint-Trivier-de-Courtes;200007276;SIVOS de Saint Trivier de Courtes;SIVU;0;0;10/01/2007;10/01/2007;MEMNB;;6;2453;2;CBUDG;M.;Thierry;PALLEGOIX
84 - Auvergne-Rhône-Alpes;01 - Ain;1 - Belley;210100079 - Ambronay;200024529;SIVU Les Petits Mômes;SIVU;0;0;24/02/2010;24/02/2010;MEMNB;;6;10218;2;CBUDG;Mme;Marina;SACCO
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210103677 - Saint-Julien-sur-Reyssouze;200049831;SIVOS du RPI Lescheroux, Saint-Jean-sur-Reyssouze, Saint-Julien-sur-Reyssouze;SIVU;0;0;18/12/2014;01/01/2015;MEMNB;;3;2213;2;CBUDG;Mme;DOMINIQUE;PETITJEAN
84 - Auvergne-Rhône-Alpes;01 - Ain;1 - Belley;210100046 - Ambérieu-en-Bugey;200073989;SI du centre nautique Bugey Côtière;SIVU;0;0;01/01/2017;01/01/2017;POPUL;;20;34045;1;CBUDG;M.;Jean-Pierre;HUMBERT
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210101085 - Coligny;200089613;SIVOS de Coligny;SIVU;0;0;01/01/2019;01/01/2019;MEMNB;;10;7778;1;CBUDG;M.;BRUNO;RAFFIN
84 - Auvergne-Rhône-Alpes;01 - Ain;1 - Belley;210102448 - Meximieux;200091684;Syndicat des eaux Dombes Côtière;SIVU;0;0;27/12/2019;01/01/2020;POPUL;;12;19257;1;AUCUN;M.;JEAN ALEX;PELLETIER
84 - Auvergne-Rhône-Alpes;01 - Ain;2 - Bourg-en-Bresse;210101390 - Curciat-Dongalon;200096279;SIVOS du RPI Curciat - Saint Nizier;SIVU;0;0;10/09/2021;01/10/2021;MEMNB;;2;1072;1;CBUDG;M.;SEBASTIEN;LABRY
84 - Auvergne-Rhône-Alpes;01 - Ain;3 - Gex;210102810 - Ornex;200103034;Syndicat du gymnase des Charbonnières;SIVU;0;0;01/01/2024;01/01/2024;MEMNB;;2;14187;1;CBUDG;;;
84 - Auvergne-Rhône-Alpes;01 - Ain;1 - Belley;210100046 - Ambérieu-en-Bugey;250100039;SIVU des eaux de la région d'Ambérieu en Bugey;SIVU;0;0;16/05/1975;16/05/1975;MEMNB;;8;25158;1;CBUDG;M.;Thierry;DEROUBAIX
