Code INSEE,Code Postal,Nuance_interco,annee,dep_x,dep_y,dept,election,president_nom,president_prenom,tour,Nom,prenom,Nuance,voix_pct_
01004,01500,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t2,FABRE,Daniel,LDVD,61.30952380952381
01004,01500,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t2,EXPOSITO,Josiane,LDVG,21.726190476190478
01005,01330,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,PERNET,Pierre,LDIV,100.0
01005,01330,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,,,,
01007,01500,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t2,LEVRAT,Gisèle,LDVG,46.77914110429448
01007,01500,NC,2014,01,01,01,2014_muni,guyader,Jean-Louis,t2,MANCUSO,Vincent,LDVD,41.487730061349694
01010,01350,NC,2014,01,74,74,2014_muni,rannard,Paul,t1,THIBOUD,Bernard,LDVD,56.15384615384615
01010,01350,NC,2014,01,74,74,2014_muni,rannard,Paul,t1,NANTERME,Jacky,LDVD,43.84615384615385
01014,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,MAISSIAT,Liliane,LUMP,100.0
01014,01100,LDVD,2014,01,01,01,2014_muni,deguerry,Jean,t1,,,,
01021,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,PACCAUD,Richard,LDIV,56.611570247933884
01021,01480,LDVD,2014,01,01,01,2014_muni,grison,Bernard,t1,DUVIVIER,Patrick,LDIV,43.388429752066116
01022,01510,LREM,2014,01,01,01,2014_muni,vuillerod,RENE,t1,CHARMONT-MUNET,Mireille,LDVD,65.09274873524453
01022,01510,LREM,2014,01,01,01,2014_muni,vuillerod,RENE,t1,LESEUR,Philippe,LDVD,34.90725126475548
01024,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,MARTIN,Walter,LDVD,59.154929577464785
01024,01340,LUG,2014,01,01,01,2014_muni,debat,JEAN FRANCOIS,t1,GOYARD,Martial,LDVG,40.845070422535215
01025,01380,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,REPIQUET,Dominique,LDIV,100.0
01025,01380,LDVD,2014,01,01,01,2014_muni,billoudet,GUY,t1,,,,
